边序号,角色,攀爬类型,起点节点,终点节点,起点海拔(m),终点海拔(m),攀爬距离(m),海拔增量(m),水平跨度(m),朝向角(度),难度(R),难度占比%,跳跃次数,所属营火段
0,主路径,岩壁,0,1,0.0,5.8,53.8,5.8,-42.7,172,2.69,269,0,0
1,主路径,岩壁,1,2,5.8,10.3,26.3,4.5,-2.8,122,1.31,131,0,0
2,主路径,岩壁,2,3,10.3,16.0,45.9,5.7,7.6,37,2.30,230,0,0
3,主路径,岩壁,3,4,16.0,20.6,26.5,4.6,25.7,10,1.32,132,0,0
4,主路径,行走,4,5,20.6,20.6,7.6,0.0,7.6,0,0.00,0,0,0
5,主路径,藤蔓,5,6,20.6,29.1,46.1,8.5,43.8,11,1.15,115,0,0
6,主路径,行走,6,7,29.1,29.1,6.0,0.0,4.4,0,0.00,0,0,0
7,主路径,岩壁,7,8,29.1,33.6,26.6,4.4,4.2,47,1.33,133,0,0
8,主路径,藤蔓,8,9,33.6,44.8,60.4,11.3,-37.7,163,1.51,151,0,0
9,主路径,藤蔓,9,10,44.8,52.2,33.6,7.4,-32.6,167,0.84,84,0,0
10,主路径,岩壁,10,11,52.2,57.0,29.4,4.8,-18.7,166,1.47,147,0,0
11,主路径,岩壁,11,12,57.0,61.2,19.0,4.2,-7.5,151,0.95,95,0,0
12,主路径,岩壁,12,13,61.2,64.5,24.1,3.3,-2.4,126,1.20,120,0,0
13,主路径,岩壁,13,14,64.5,67.9,27.4,3.4,21.3,9,1.37,137,0,0
14,主路径,行走,14,15,67.9,67.9,4.9,0.0,4.4,0,0.00,0,0,0
15,主路径,岩壁,15,16,67.9,71.4,17.8,3.5,16.1,12,0.89,89,0,0
16,主路径,岩壁,16,17,71.4,72.0,3.0,0.6,2.9,12,0.15,15,0,0
17,主路径,洞穴,17,18,72.0,78.2,44.7,6.2,42.2,8,2.24,224,0,1
18,主路径,藤蔓,18,19,78.2,89.6,73.6,11.4,-7.4,123,1.84,184,0,1
19,主路径,岩壁,19,20,89.6,98.0,61.3,8.4,-60.5,172,3.06,306,0,1
20,主路径,藤蔓,20,21,98.0,113.6,77.4,15.6,34.5,24,1.94,194,0,1
21,主路径,藤蔓,21,22,113.6,123.7,51.0,10.1,34.8,16,1.28,128,0,1
22,主路径,洞穴,22,23,123.7,126.0,12.2,2.3,-5.3,156,0.61,61,0,1
23,主路径,藤蔓,23,24,126.0,139.6,56.4,13.6,-52.9,166,1.41,141,0,2
24,主路径,岩壁,24,25,139.6,143.9,15.3,4.3,-2.8,123,0.76,76,0,2
25,主路径,岩壁,25,26,143.9,149.8,28.3,5.9,1.8,73,1.41,141,0,2
26,主路径,藤蔓,26,27,149.8,161.8,40.4,12.0,37.6,18,1.01,101,0,2
27,主路径,洞穴,27,28,161.8,168.0,32.7,6.2,8.2,37,1.63,163,0,2
28,主路径,岩壁,28,29,168.0,173.8,17.2,5.8,-10.2,150,0.86,86,0,2
29,主路径,岩壁,29,30,173.8,179.1,17.4,5.4,-15.2,161,0.87,87,0,2
30,主路径,行走,30,31,179.1,179.1,6.4,0.0,-6.1,180,0.00,0,0,2
31,主路径,藤蔓,31,32,179.1,180.0,3.6,0.9,3.2,15,0.09,9,0,2
32,安全迂回,藤蔓,1,33,5.8,7.3,12.8,1.5,8.4,10,0.32,32,0,0
33,安全迂回,藤蔓,33,34,7.3,8.8,8.8,1.5,-1.2,128,0.22,22,0,0
34,安全迂回,藤蔓,34,2,8.8,10.3,12.7,1.5,-10.0,172,0.32,32,0,0
35,安全迂回,藤蔓,13,35,64.5,65.3,11.4,0.9,11.0,4,0.28,28,0,0
36,安全迂回,藤蔓,35,36,65.3,66.2,6.9,0.9,5.0,10,0.17,17,0,0
37,安全迂回,藤蔓,36,37,66.2,67.1,7.7,0.9,7.6,7,0.19,19,0,0
38,安全迂回,藤蔓,37,14,67.1,67.9,13.9,0.9,-2.2,158,0.35,35,0,0
39,奖励支线,岩壁,3,38,16.0,18.9,14.2,2.9,13.8,12,0.15,15,0,0
40,安全迂回,藤蔓,19,39,89.6,91.7,17.7,2.1,-14.5,172,0.40,40,0,1
41,安全迂回,藤蔓,39,40,91.7,93.8,15.6,2.1,-14.9,172,0.39,39,0,1
42,安全迂回,藤蔓,40,41,93.8,95.9,15.3,2.1,-15.1,172,0.38,38,0,1
43,安全迂回,藤蔓,41,20,95.9,98.0,19.9,2.1,-16.1,173,0.50,50,0,1
44,捷径,岩壁,17,19,72.0,89.6,18.5,17.6,34.8,27,0.92,92,0,1
45,安全迂回,藤蔓,19,42,89.6,91.7,18.6,2.1,-15.9,172,0.40,40,0,1
46,安全迂回,藤蔓,42,43,91.7,93.8,15.3,2.1,-15.1,172,0.38,38,0,1
47,安全迂回,藤蔓,43,44,93.8,95.9,15.5,2.1,-15.3,172,0.39,39,0,1
48,安全迂回,藤蔓,44,20,95.9,98.0,19.7,2.1,-14.2,172,0.49,49,0,1
49,捷径,反斜面,28,30,168.0,179.1,11.7,11.1,-25.4,156,0.94,94,0,2
50,奖励支线,洞穴,27,45,161.8,162.0,13.5,0.2,-11.3,179,0.67,67,0,2
51,奖励支线,洞穴,25,46,143.9,147.7,12.4,3.8,10.8,19,0.62,62,0,2
52,奖励支线,洞穴,46,47,147.7,151.2,12.8,3.5,0.5,83,0.64,64,0,2
53,安全迂回,藤蔓,28,48,168.0,169.4,11.2,1.4,5.5,15,0.28,28,0,2
54,安全迂回,藤蔓,48,49,169.4,170.9,4.4,1.4,-1.7,140,0.11,11,0,2
55,安全迂回,藤蔓,49,50,170.9,172.3,4.4,1.4,-1.8,142,0.11,11,0,2
56,安全迂回,藤蔓,50,29,172.3,173.8,13.0,1.4,-12.1,173,0.33,33,0,2
57,奖励支线,洞穴,25,51,143.9,144.8,9.0,0.9,-7.9,174,0.45,45,0,2
58,奖励支线,洞穴,51,52,144.8,144.3,10.1,-0.5,2.5,-10,0.50,50,0,2
